010069021340000000	20260216	317	101
010045877880000000	20260216	160	101
013005000550000000	20260216	254	102
013008275990000000	20260216	349	102
010106569320000000	20260216	178	103
010027397610000000	20260216	539	103
010048723470000000	20260216	321	103
010058967170000000	20260216	322	103
010035493180000000	20260216	1905	103
010031703390000000	20260216	181	103
010044208810000000	20260216	443	105
010058200710000000	20260216	102	105
010038658390000000	20260216	209	105
010027643300000000	20260216	211	105
010053274570000000	20260216	2357	106
010054148910000000	20260216	743	106
010059432460000000	20260216	2244	106
010028603100000000	20260216	387	106
010059484350000000	20260216	1076	106
010047479110000000	20260216	1063	107
010065640580000000	20260216	391	107
010061487950000000	20260216	307	107
010029192800000000	20260216	662	107
010045506950000000	20260216	317	107
010066895090000000	20260216	201	107
010068971770000000	20260216	360	108
010061761840000000	20260216	378	108
010061364280000000	20260216	193	110
010056331360000000	20260216	364	110
010034864120000000	20260216	343	110
010042135590000000	20260216	321	110
010068624600000000	20260216	411	110
010042924470000000	20260216	378	110
013010487160000000	20260216	1021	110
010057424400000000	20260216	412	110
010053975180000000	20260216	379	111
010029942910000000	20260216	98	111
010061182100000000	20260216	443	111
010036618160000000	20260216	453	111
010042150590000000	20260216	101	111
010056244730000000	20260216	262	111
010070256950000000	20260216	138	111
010047030540000000	20260216	572	111
010056004570000000	20260216	322	111
010063023500000000	20260216	443	111
010027968290000000	20260216	365	111
010049942080000000	20260216	443	111
010030021850000000	20260216	556	111
010047836430000000	20260216	138	111
010028852180000000	20260216	338	115
010042888740000000	20260216	387	117
013001767810000000	20260216	160	117
010058427780000000	20260216	364	117
010035131650000000	20260216	626	117
010058641110000000	20260216	343	117
010050627160000000	20260216	181	119
010045544730000000	20260216	443	119
010035550180000000	20260216	1858	119
010050368270000000	20260216	127	119
013002573000000000	20260216	260	119
010055304230000000	20260216	292	119
010069908990000000	20260216	127	119
010035517020000000	20260216	230	119
010063234140000000	20260216	639	119
013003533560000000	20260216	98	119
010039702410000000	20260216	6665	119
010049643420000000	20260216	77	119
010038744680000000	20260216	118	119
010065420050000000	20260216	292	119
010044993560000000	20260216	138	119
010070143190000000	20260216	411	119
010058964850000000	20260216	1026	119
010051053410000000	20260216	118	119
010047266420000000	20260216	365	119
010035660230000000	20260216	255	119
010070307450000000	20260216	139	121
010028027180000000	20260216	287	121
010050587480000000	20260216	230	121
010037529530000000	20260216	539	121
010037967030000000	20260216	127	121
010031370560000000	20260216	181	121
010068407550000000	20260216	478	121
010065691150000000	20260216	217	121
010054186940000000	20260216	869	123
010057743690000000	20260216	77	123
010036103590000000	20260216	359	123
010069433850000000	20260216	444	123
010031090550000000	20260216	160	126
010060692490000000	20260216	293	126
010053503920000000	20260216	438	131
010050399040000000	20260216	426	131
010032458000000000	20260216	412	131
010035111440000000	20260216	525	131
010033960090000000	20260216	435	132
010029515640000000	20260216	242	133
010027335580000000	20260216	229	135
010027213890000000	20260216	204	136
013003531170000000	20260216	292	139
010062496190000000	20260216	778	139
010040263650000000	20260216	255	139
010030385770000000	20260216	321	139
010039984160000000	20260216	451	139
010056232850000000	20260216	541	139
013000412900000000	20260216	2258	139
010037997310000000	20260216	123	139
010034549150000000	20260216	91	139
010056152080000000	20260216	139	139
010065124950000000	20260216	83	139
010059227860000000	20260216	250	139
013002918460000000	20260216	60	139
010053979140000000	20260216	181	139
013003556820000000	20260216	255	139
013001675900000000	20260216	160	139
010030085540000000	20260216	185	139
010052877500000000	20260216	164	139
010069534910000000	20260216	136	139
010063821130000000	20260216	283	139
010037847410000000	20260216	118	139
010029652000000000	20260216	546	139
010073590520000000	20260216	108	140
010072739490000000	20260216	188	140
010035535750000000	20260216	211	140
010072281820000000	20260216	127	140
010063212020000000	20260216	322	141
013001447630000000	20260216	79	142
010041446630000000	20260216	182	142
010069267370000000	20260216	350	142
013001459430000000	20260216	79	142
010061124110000000	20260216	2337	142
010061796670000000	20260216	118	142
013001398390000000	20260216	79	142
010035758910000000	20260216	443	142
013001483270000000	20260216	79	142
013002322530000000	20260216	230	142
010063325220000000	20260216	118	142
013001361400000000	20260216	412	142
010041938500000000	20260216	230	142
010043200730000000	20260216	78	142
010040188830000000	20260216	321	142
010038082010000000	20260216	160	142
010045125960000000	20260216	138	143
010061170710000000	20260216	1762	146
010040787390000000	20260216	3044	146
010045319270000000	20260216	1457	152
010067280420000000	20260216	211	152
010042080700000000	20260216	511	152
010049800740000000	20260216	211	152
010065651470000000	20260216	407	152
010033735030000000	20260216	745	152
010051632580000000	20260216	667	152
010029936990000000	20260216	234	152
010054554490000000	20260216	148	152
010027821420000000	20260216	147	152
010053549800000000	20260216	1706	152
010044917910000000	20260216	406	152
010053729250000000	20260216	127	152
010045965080000000	20260216	628	152
010049348570000000	20260216	1687	154
010031139330000000	20260216	127	154
010052187970000000	20260216	349	155
010029461010000000	20260216	762	155
013001766330000000	20260216	321	156
010064775250000000	20260216	217	159
013007050680000000	20260216	361	161
013008852820000000	20260216	572	161
013005545080000000	20260216	293	161
013005504560000000	20260216	413	161
010068484360000000	20260216	197	168
010048709940000000	20260216	188	168
010069010450000000	20260216	350	168
010054120360000000	20260216	475	172
010048171510000000	20260216	118	172
013013328880000000	20260216	450	172
010047481660000000	20260216	78	172
010068359610000000	20260216	118	172
010039021780000000	20260216	349	172
010052003320000000	20260216	318	173
010058564710000000	20260216	200	173
013007910190000000	20260216	540	173
010036462470000000	20260216	70	173
010058125810000000	20260216	201	173
010055500410000000	20260216	58	173
010032501150000000	20260216	127	174
010050364390000000	20260216	293	175
010042151410000000	20260216	160	175
010069393910000000	20260216	229	175
010050221240000000	20260216	143	175
010072109820000000	20260216	418	175
010062494450000000	20260216	159	176
010045414130000000	20260216	1532	178
010062698560000000	20260216	1370	178
010059652150000000	20260216	160	178
010027421790000000	20260216	118	178
010046296710000000	20260216	97	178
010050884060000000	20260216	475	178
010033792940000000	20260216	721	178
010043213450000000	20260216	158	178
010057663810000000	20260216	147	178
010048034170000000	20260216	255	178
010062257910000000	20260216	475	178
010039964100000000	20260216	379	178
010043222100000000	20260216	78	178
010061974530000000	20260216	391	179
010035008240000000	20260216	378	179
010043680640000000	20260216	293	179
010056190690000000	20260216	300	183
010068085960000000	20260216	975	183
010058427520000000	20260216	343	183
010070999140000000	20260216	568	187
010044770630000000	20260216	164	188
010065318830000000	20260216	95	188
010046101920000000	20260216	229	189
010043749550000000	20260216	292	189
010038104210000000	20260216	159	189
010066156780000000	20260216	412	191
010060985780000000	20260216	1190	191
010047848560000000	20260216	427	191
010056294310000000	20260216	678	193
013015667900000000	20260216	756	194
010052199100000000	20260216	483	194
010071587850000000	20260216	1313	198
010067711090000000	20260216	387	203
010045360410000000	20260216	300	203
010045667090000000	20260216	604	204
010059018300000000	20260216	413	204
010035359030000000	20260216	483	204
010072396010000000	20260216	840	204
010053983670000000	20260216	321	204
013007851510000000	20260216	482	205
010057889060000000	20260216	559	205
010029410860000000	20260216	742	205
010034981510000000	20260216	182	209
010065446470000000	20260216	475	210
010058263000000000	20260216	406	211
010044677180000000	20260216	79	212
010043103060000000	20260216	97	213
010050543170000000	20260216	159	213
010037772080000000	20260216	1303	214
010051570600000000	20260216	552	215
010030283390000000	20260216	2938	216
010035234790000000	20260216	1001	216
010056099950000000	20260216	539	216
010061387620000000	20260216	639	216
010054794640000000	20260216	181	216
010062697570000000	20260216	204	216
010070171140000000	20260216	413	216
010060690820000000	20260216	229	217
010059328010000000	20260216	79	217
010054577910000000	20260216	205	217
010045832900000000	20260216	517	217
010044690780000000	20260216	266	218
010051802860000000	20260216	345	218
010041185010000000	20260216	226	218
010051002920000000	20260216	201	218
010028027750000000	20260216	1640	218
010040635900000000	20260216	160	220
010065992290000000	20260216	205	220
010072500610000000	20260216	310	220
010050110770000000	20260216	572	220
010057470920000000	20260216	78	220
010069499860000000	20260216	260	220
010049442940000000	20260216	1026	220
010067580070000000	20260216	98	220
010039784910000000	20260216	1402	220
013009946210000000	20260216	343	230
010042884940000000	20260216	310	233
010041099220000000	20260216	317	234
010040130090000000	20260216	200	235
010037126010000000	20260216	342	237
010053765380000000	20260216	2614	237
010063842830000000	20260216	1533	237
010035360340000000	20260216	412	237
010055075530000000	20260216	295	240
010055957640000000	20260216	511	244
010029444030000000	20260216	663	244
013003990940000000	20260216	342	248
013001873900000000	20260216	321	250
010033775380000000	20260216	230	252
010055468660000000	20260216	565	252
010054385930000000	20260216	2767	257
010043560100000000	20260216	480	258
010035653710000000	20260216	182	259
010049353590000000	20260216	212	265
010038252470000000	20260216	512	267
010035833900000000	20260216	444	270
013007047640000000	20260216	1611	275
010058238930000000	20260216	118	275
013011052680000000	20260216	147	275
010040146920000000	20260216	436	275
013003649320000000	20260216	142	277
013004984740000000	20260216	565	277
010056265020000000	20260216	289	278
010045578070000000	20260216	303	278
013012750460000000	20260216	293	280
010044356240000000	20260216	131	283
010064473610000000	20260216	722	288
010041992040000000	20260216	711	290
010034328610000000	20260216	79	290
010055804690000000	20260216	593	294
010067871540000000	20260216	322	294
013010242380000000	20260216	190	297
010047396600000000	20260216	350	298
010063298820000000	20260216	322	298
013000336280000000	20260216	1104	298
010041455790000000	20260216	437	401
010042599820000000	20260216	605	412
010040958320000000	20260216	143	412
010035801310000000	20260216	189	412
010055727060000000	20260216	474	412
010064690840000000	20260216	506	412
