01006572754000000034900	16/02/2026
01003593977000000035000	16/02/2026
01005098140000000063900	16/02/2026
01002821262000000018100	16/02/2026
01002841716000000035000	16/02/2026
01003029766000000013800	16/02/2026
01006476212000000016000	16/02/2026
01006422182000000082600	16/02/2026
01006311955000000044300	16/02/2026
01003973021000000044300	16/02/2026
01005859004000000023700	16/02/2026
01005311428000000013800	16/02/2026
01003434818000000012700	16/02/2026
01003571965000000049500	16/02/2026
01003395134000000007200	16/02/2026
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
